task_idx,task_id,final_success,n_steps,saturation_ratio,late_readonly_fraction,novelty_drop,abs_error_shift,top_20pct,top_25pct,top_33pct
0,50e1ac9_1,1.0,9,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
1,50e1ac9_2,1.0,13,0.0,0.0,0.4444444444444444,0.0,ambiguous,ambiguous,ambiguous
2,50e1ac9_3,1.0,11,0.0,0.0,0.375,0.0,ambiguous,ambiguous,ambiguous
3,fac291d_1,1.0,9,0.0,0.0,0.4285714285714286,0.0,ambiguous,ambiguous,ambiguous
4,fac291d_2,1.0,9,0.0,0.0,0.4285714285714286,0.0,ambiguous,ambiguous,ambiguous
5,fac291d_3,1.0,10,0.0,0.0,0.4285714285714286,0.0,ambiguous,ambiguous,ambiguous
6,530b157_1,1.0,21,0.0,0.0625,0.4545454545454546,0.0,ambiguous,ambiguous,ambiguous
7,530b157_2,1.0,22,0.0,0.0625,0.5,0.0,ambiguous,ambiguous,ambiguous
8,530b157_3,1.0,19,0.0,0.15384615384615385,0.4444444444444444,0.0,lucky_success,lucky_success,lucky_success
9,4ec8de5_1,1.0,10,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
10,4ec8de5_2,1.0,8,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
11,4ec8de5_3,0.0,8,0.07142857142857142,0.0,0.0,0.0,ambiguous,ambiguous,ambiguous
12,b119b1f_1,1.0,11,0.1,0.0,0.16666666666666663,0.0,ambiguous,ambiguous,ambiguous
13,b119b1f_2,1.0,9,0.08333333333333333,0.0,0.1428571428571429,0.0,ambiguous,ambiguous,ambiguous
14,b119b1f_3,1.0,9,0.08333333333333333,0.0,0.1428571428571429,0.0,ambiguous,ambiguous,ambiguous
15,d4e9306_1,1.0,9,0.0,0.07142857142857142,0.16666666666666663,0.0,ambiguous,ambiguous,ambiguous
16,d4e9306_2,1.0,7,0.08333333333333333,0.16666666666666666,0.5,0.0,lucky_success,lucky_success,lucky_success
17,d4e9306_3,1.0,6,0.08333333333333333,0.08333333333333333,0.33333333333333337,0.0,ambiguous,ambiguous,lucky_success
18,0d8a4ee_1,1.0,16,0.0,0.09090909090909091,0.2857142857142857,0.0,ambiguous,ambiguous,ambiguous
19,0d8a4ee_2,1.0,11,0.0,0.0625,0.5,0.0,ambiguous,ambiguous,ambiguous
20,0d8a4ee_3,1.0,10,0.0,0.09090909090909091,0.33333333333333337,0.0,ambiguous,ambiguous,ambiguous
21,37a8675_1,1.0,11,0.0,0.25,0.25,0.3333333333333333,lucky_success,lucky_success,lucky_success
22,37a8675_2,0.0,15,0.07692307692307693,0.3076923076923077,0.33333333333333337,0.125,overthinking_failure,overthinking_failure,overthinking_failure
23,37a8675_3,1.0,23,0.0,0.2,0.4,0.08333333333333333,lucky_success,lucky_success,lucky_success
24,3ab5b8b_1,1.0,10,0.05555555555555555,0.05555555555555555,0.0,0.0,ambiguous,ambiguous,ambiguous
25,3ab5b8b_2,0.0,14,0.09090909090909091,0.18181818181818182,0.2857142857142857,0.0,overthinking_failure,overthinking_failure,overthinking_failure
26,3ab5b8b_3,1.0,12,0.07692307692307693,0.38461538461538464,0.5,0.16666666666666666,lucky_success,lucky_success,lucky_success
27,df61dc5_1,0.0,22,0.0,0.058823529411764705,0.375,0.0,ambiguous,ambiguous,ambiguous
28,df61dc5_2,0.0,8,0.0,0.0,0.0,0.0,clean_failure,clean_failure,clean_failure
29,df61dc5_3,0.0,13,0.05263157894736842,0.05263157894736842,0.0,0.0,ambiguous,ambiguous,ambiguous
30,383cbac_1,1.0,11,0.0,0.0,0.5,0.0,ambiguous,ambiguous,ambiguous
31,383cbac_2,1.0,13,0.0,0.0,0.19999999999999996,0.0,clean_success,clean_success,clean_success
32,383cbac_3,0.0,10,0.0,0.0,0.19999999999999996,0.0,clean_failure,clean_failure,clean_failure
33,23cf851_1,1.0,10,0.0,0.0,0.4,0.0,ambiguous,ambiguous,ambiguous
34,23cf851_2,0.0,7,0.0,0.0,0.0,0.0,clean_failure,clean_failure,clean_failure
35,23cf851_3,1.0,7,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
36,57c3486_1,1.0,16,0.07142857142857142,0.14285714285714285,0.33333333333333337,0.0,ambiguous,ambiguous,lucky_success
37,57c3486_2,1.0,9,0.08333333333333333,0.08333333333333333,0.16666666666666663,0.0,ambiguous,ambiguous,lucky_success
38,57c3486_3,1.0,8,0.07692307692307693,0.07692307692307693,0.5,0.0,ambiguous,lucky_success,lucky_success
39,68ee2c9_1,1.0,13,0.13333333333333333,0.0,0.5714285714285714,0.0,lucky_success,lucky_success,lucky_success
40,68ee2c9_2,1.0,7,0.07692307692307693,0.0,0.4,0.0,ambiguous,ambiguous,lucky_success
41,68ee2c9_3,1.0,9,0.07692307692307693,0.0,0.4,0.0,ambiguous,ambiguous,lucky_success
42,6bdbc26_1,1.0,5,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
43,6bdbc26_2,1.0,6,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
44,6bdbc26_3,1.0,6,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
45,6171bbc_1,1.0,11,0.0,0.0625,0.375,0.0,ambiguous,ambiguous,ambiguous
46,6171bbc_2,1.0,9,0.0,0.07692307692307693,0.25,0.0,ambiguous,ambiguous,ambiguous
47,6171bbc_3,1.0,9,0.07142857142857142,0.07142857142857142,0.4,0.0,ambiguous,ambiguous,lucky_success
48,6c2c621_1,1.0,12,0.0,0.2222222222222222,0.0,0.0,ambiguous,ambiguous,ambiguous
49,6c2c621_2,1.0,10,0.07692307692307693,0.15384615384615385,0.0,0.0,ambiguous,lucky_success,lucky_success
50,6c2c621_3,1.0,11,0.0,0.15384615384615385,0.0,0.0,ambiguous,ambiguous,ambiguous
51,396c5a2_1,1.0,8,0.0,0.0,0.33333333333333337,0.0,ambiguous,ambiguous,ambiguous
52,396c5a2_2,1.0,7,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
53,396c5a2_3,1.0,6,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
54,4fab96f_1,1.0,12,0.0,0.0,0.0,0.16666666666666666,ambiguous,ambiguous,ambiguous
55,4fab96f_2,1.0,8,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
56,4fab96f_3,1.0,8,0.0,0.0,0.0,0.0,clean_success,clean_success,clean_success
